id;Der;ferfi;Die;no;Das;semleges;Ige;verb;Melléknév;adj;Egyéb szófaj;other;Helynevek;place;Hónapok;month;Új;new
253;;;e Gulaschsuppe, n;gulyásleves;;;;;;;;;;;;;;
254;;;e Melange, b;tejeskávé;;;;;;;;;;;;;;
255;;;e Portion, en;adag;;;;;;;;;;;;;;
256;;;e Region, en;régió;;;;;;;;;;;;;;
257;;;e Scheibe, n;szelet;;;;;;;;;;;;;;
258;;;e Sorte, n;fajta / féle;;;;;;;;;;;;;;
259;;;e Spaghetti;spagetti;;;;;;;;;;;;;;
260;;;e Spezialität, en;különlegesség;;;;;;;;;;;;;;
261;;;e Suppe, n;leves;;;;;;;;;;;;;;
262;;;e Zucchini, ~;cukkini;;;;;;;;;;;;;;
263;;;e Leseratte, n;könyvmoly;;;;;;;;;;;;;;
264;;;e Langeweile;unalom;;;;;;;;;;;;;;
265;;;e Pause, n;szünet;;;;;;;;;;;;;;
266;;;e Metzgerei, n;hentes;;;;;;;;;;;;;;
267;;;e Öffnungszeit, en;nyitvatartási idő;;;;;;;;;;;;;;
268;;;e Birne, n;körte;;;;;;;;;;;;;;
269;;;e Traube, n;szőlő;;;;;;;;;;;;;;
270;;;e Religion, en;vallás / hittan;;;;;;;;;;;;;;
271;;;e Physik;fizika;;;;;;;;;;;;;;
272;;;e Chemie, en;kémia;;;;;;;;;;;;;;
273;;;e Sozialkunde, n;állampolgári ismeretek;;;;;;;;;;;;;;
274;;;e Kunst, ¨-e;művészet;;;;;;;;;;;;;;
275;;;e Geografie / e Erdkunde;földrajz;;;;;;;;;;;;;;
276;;;e Informatik;informatika;;;;;;;;;;;;;;
277;;;e Geschichte, n;történet;;;;;;;;;;;;;;
278;;;e Geschichte;történelem;;;;;;;;;;;;;;
279;;;e Lust, ˝-e;vágy;;;;;;;;;;;;;;
280;;;e Freiheit, en;szabadság;;;;;;;;;;;;;;
281;;;e Tageskarte, n;napijegy;;;;;;;;;;;;;;
282;;;e Erwachsene, n;felnőtt;;;;;;;;;;;;;;
283;;;e Jugendliche, n;tinédzser;;;;;;;;;;;;;;
284;;;e Unterhaltung, en;szórakozás;;;;;;;;;;;;;;
285;;;e Libeskomödie, n;romantikus komédia;;;;;;;;;;;;;;
286;;;r/e/s Dschungel, ~/s/n;dzsungel;;;;;;;;;;;;;;
287;;;e Ausstellung, en;kiállítás;;;;;;;;;;;;;;
288;;;e Szene, n;jelenet / díszlet / színpad;;;;;;;;;;;;;;
289;;;e Idee, n;ötlet;;;;;;;;;;;;;;
290;;;e Badesachen;fürdőholmi;;;;;;;;;;;;;;
